Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,TotalGoals,Over25,BTTS,Status
2024-06-01,Cuiaba,Internacional,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-02,Corinthians,Botafogo,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-02,Vasco DA Gama,Flamengo,1,6,A,2.1,3.25,3.4,1.9,1.9,7,1,1,FT
2024-06-02,Criciuma,Palmeiras,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-02,Atletico-MG,Bahia,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-06-02,Sao Paulo,Cruzeiro,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-06-02,Fortaleza EC,Atletico Paranaense,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-05,Juventude,Atletico Goianiense,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-05,Cuiaba,Vitoria,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-06-09,Criciuma,Cuiaba,2,5,A,2.1,3.25,3.4,1.9,1.9,7,1,1,FT
2024-06-11,Atletico Goianiense,Corinthians,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-06-11,Juventude,Vitoria,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-06-11,Botafogo,Fluminense,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-12,RB Bragantino,Atletico-MG,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-13,Cruzeiro,Cuiaba,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-13,Internacional,Sao Paulo,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-06-13,Flamengo,Gremio,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-13,Atletico Paranaense,Criciuma,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-06-14,Bahia,Fortaleza EC,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-14,Palmeiras,Vasco DA Gama,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-06-15,RB Bragantino,Juventude,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-16,Fluminense,Atletico Goianiense,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-16,Corinthians,Sao Paulo,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-06-16,Atletico Paranaense,Flamengo,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-06-16,Vitoria,Internacional,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-16,Gremio,Botafogo,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-16,Vasco DA Gama,Cruzeiro,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-06-16,Criciuma,Bahia,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-06-16,Cuiaba,Fortaleza EC,5,0,H,2.1,3.25,3.4,1.9,1.9,5,1,0,FT
2024-06-17,Atletico-MG,Palmeiras,0,4,A,2.1,3.25,3.4,1.9,1.9,4,1,0,FT
2024-06-19,Botafogo,Atletico Paranaense,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-06-19,Atletico Goianiense,Criciuma,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-19,Sao Paulo,Cuiaba,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-19,Juventude,Vasco DA Gama,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-06-19,Fortaleza EC,Gremio,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-20,Internacional,Corinthians,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-20,Cruzeiro,Fluminense,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-06-20,Vitoria,Atletico-MG,4,2,H,2.1,3.25,3.4,1.9,1.9,6,1,1,FT
2024-06-20,Flamengo,Bahia,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-21,Palmeiras,RB Bragantino,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-22,Criciuma,Botafogo,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-22,Gremio,Internacional,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-22,Cuiaba,Atletico Goianiense,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-06-23,Vasco DA Gama,Sao Paulo,4,1,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-06-23,Bahia,Cruzeiro,4,1,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-06-23,Fluminense,Flamengo,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-23,Atletico Paranaense,Corinthians,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-06-23,Palmeiras,Juventude,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-06-23,RB Bragantino,Vitoria,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-23,Atletico-MG,Fortaleza EC,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-06-26,Botafogo,RB Bragantino,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-26,Cruzeiro,Atletico Paranaense,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-06-26,Corinthians,Cuiaba,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-06-26,Atletico Goianiense,Gremio,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-06-26,Juventude,Flamengo,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-27,Bahia,Vasco DA Gama,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-27,Internacional,Atletico-MG,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-27,Fortaleza EC,Palmeiras,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-06-27,Fluminense,Vitoria,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-27,Sao Paulo,Criciuma,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-29,Vasco DA Gama,Botafogo,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-06-29,Cuiaba,RB Bragantino,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-06-30,Atletico-MG,Atletico Goianiense,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-06-30,Sao Paulo,Bahia,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-06-30,Gremio,Fluminense,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-30,Fortaleza EC,Juventude,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-30,Flamengo,Cruzeiro,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-06-30,Vitoria,Atletico Paranaense,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-06-30,Criciuma,Internacional,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-07-01,Palmeiras,Corinthians,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-07-03,Cuiaba,Botafogo,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
