Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,TotalGoals,Over25,BTTS,Status
2024-10-06,1. FC Heidenheim,RB Leipzig,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-06,Eintracht Frankfurt,Bayern München,3,3,D,2.1,3.25,3.4,1.9,1.9,6,1,1,FT
2024-10-06,VfB Stuttgart,1899 Hoffenheim,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-10-18,Borussia Dortmund,FC St. Pauli,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-10-19,SC Freiburg,FC Augsburg,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-10-19,Borussia Mönchengladbach,1. FC Heidenheim,3,2,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-10-19,FSV Mainz 05,RB Leipzig,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-10-19,1899 Hoffenheim,VfL Bochum,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-10-19,Bayer Leverkusen,Eintracht Frankfurt,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-10-19,Bayern München,VfB Stuttgart,4,0,H,2.1,3.25,3.4,1.9,1.9,4,1,0,FT
2024-10-20,Holstein Kiel,Union Berlin,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-10-20,VfL Wolfsburg,Werder Bremen,2,4,A,2.1,3.25,3.4,1.9,1.9,6,1,1,FT
2024-10-25,FSV Mainz 05,Borussia Mönchengladbach,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-10-26,FC Augsburg,Borussia Dortmund,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-10-26,VfB Stuttgart,Holstein Kiel,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-10-26,RB Leipzig,SC Freiburg,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-10-26,FC St. Pauli,VfL Wolfsburg,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-10-26,Werder Bremen,Bayer Leverkusen,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-10-27,VfL Bochum,Bayern München,0,5,A,2.1,3.25,3.4,1.9,1.9,5,1,0,FT
2024-10-27,Union Berlin,Eintracht Frankfurt,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-10-27,1. FC Heidenheim,1899 Hoffenheim,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-11-01,Bayer Leverkusen,VfB Stuttgart,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-11-02,Bayern München,Union Berlin,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-11-02,VfL Wolfsburg,FC Augsburg,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-11-02,1899 Hoffenheim,FC St. Pauli,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-11-02,Eintracht Frankfurt,VfL Bochum,7,2,H,2.1,3.25,3.4,1.9,1.9,9,1,1,FT
2024-11-02,Holstein Kiel,1. FC Heidenheim,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-11-02,Borussia Dortmund,RB Leipzig,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-11-03,SC Freiburg,FSV Mainz 05,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-11-03,Borussia Mönchengladbach,Werder Bremen,4,1,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-11-08,Union Berlin,SC Freiburg,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-11-09,Werder Bremen,Holstein Kiel,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-11-09,FSV Mainz 05,Borussia Dortmund,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-11-09,VfL Bochum,Bayer Leverkusen,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-11-09,FC St. Pauli,Bayern München,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-11-09,RB Leipzig,Borussia Mönchengladbach,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-11-10,FC Augsburg,1899 Hoffenheim,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-11-10,VfB Stuttgart,Eintracht Frankfurt,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-11-10,1. FC Heidenheim,VfL Wolfsburg,1,3,A,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-11-22,Bayern München,FC Augsburg,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-11-23,VfL Wolfsburg,Union Berlin,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
